model,fold,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
yolo26s,0,1,LQS,4,6,1.0,0.565,0.0,0.722045,0.73,0.645
yolo26s,0,2,QHS,40,111,0.866,0.757,0.134,0.80784,0.857,0.699
yolo26s,0,3,MS,243,463,0.861,0.89,0.139,0.87526,0.909,0.74
yolo26s,0,4,A1_SU-35,57,280,0.989,0.977,0.011,0.982963,0.985,0.908
yolo26s,0,5,A2_C-130,58,208,1.0,0.978,0.0,0.988878,0.995,0.948
yolo26s,0,6,A3_C-17,51,197,0.998,0.99,0.002,0.993984,0.995,0.941
yolo26s,0,7,A4_C-5,24,96,0.98,1.0,0.02,0.989899,0.995,0.966
yolo26s,0,8,A5_F-16,48,204,1.0,0.977,0.0,0.988366,0.995,0.893
yolo26s,0,9,A6_TU-160,18,64,0.979,1.0,0.021,0.989389,0.995,0.941
yolo26s,0,10,A7_E-3,31,91,0.986,0.978,0.014,0.981984,0.994,0.961
yolo26s,0,11,A8_B-52,33,114,0.993,1.0,0.007,0.996488,0.995,0.963
yolo26s,0,12,A9_P-3C,38,129,0.96,0.977,0.04,0.968425,0.993,0.928
yolo26s,0,13,A10_B-1B,31,144,0.986,0.971,0.014,0.978443,0.995,0.935
yolo26s,0,14,A11_E-8,29,81,0.897,0.968,0.103,0.931149,0.971,0.941
yolo26s,0,15,A12_TU-22,37,132,0.985,0.983,0.015,0.983999,0.994,0.917
yolo26s,0,16,A13_F-15,43,257,0.98,0.954,0.02,0.966825,0.981,0.874
yolo26s,0,17,A14_KC-135,71,282,0.98,0.982,0.02,0.980999,0.988,0.934
yolo26s,0,18,A15_F-22,23,90,0.978,0.978,0.022,0.978,0.99,0.85
yolo26s,0,19,A16_FA-18,48,400,0.987,0.988,0.013,0.9875,0.994,0.936
yolo26s,0,20,A17_TU-95,60,224,0.999,0.969,0.001,0.983771,0.984,0.898
yolo26s,0,21,A18_KC-10,18,41,0.994,0.976,0.006,0.984918,0.995,0.942
yolo26s,0,22,A19_SU-34,57,169,0.977,1.0,0.023,0.988366,0.993,0.913
yolo26s,0,23,A20_SU-24,41,140,0.994,0.979,0.006,0.986443,0.992,0.897
yolo26s,0,24,FSC,14,83,0.774,0.602,0.226,0.67725,0.728,0.537
yolo26s,1,0,HM,22,24,0.803,1.0,0.197,0.890738,0.982,0.892
yolo26s,1,1,LQS,5,5,0.71,0.505,0.29,0.590206,0.609,0.491
yolo26s,1,2,QHS,46,99,0.667,0.789,0.333,0.722889,0.816,0.665
yolo26s,1,3,MS,238,432,0.802,0.861,0.198,0.830453,0.897,0.745
yolo26s,1,4,A1_SU-35,56,284,0.982,0.969,0.018,0.975457,0.991,0.905
yolo26s,1,5,A2_C-130,58,321,0.964,0.991,0.036,0.977314,0.995,0.936
yolo26s,1,6,A3_C-17,50,223,0.97,1.0,0.03,0.984772,0.989,0.928
yolo26s,1,7,A4_C-5,23,120,0.97,0.975,0.03,0.972494,0.994,0.935
yolo26s,1,8,A5_F-16,48,192,0.985,0.969,0.015,0.976934,0.965,0.862
yolo26s,1,9,A6_TU-160,17,79,0.988,1.0,0.012,0.993964,0.995,0.911
yolo26s,1,10,A7_E-3,31,109,0.91,0.972,0.09,0.939979,0.986,0.922
yolo26s,1,11,A8_B-52,33,140,0.963,1.0,0.037,0.981151,0.995,0.966
yolo26s,1,12,A9_P-3C,39,183,0.994,0.987,0.006,0.990488,0.995,0.935
yolo26s,1,13,A10_B-1B,33,176,0.959,0.96,0.041,0.9595,0.987,0.912
yolo26s,1,14,A11_E-8,27,97,0.897,0.948,0.103,0.921795,0.966,0.921
yolo26s,1,15,A12_TU-22,38,129,0.948,0.983,0.052,0.965183,0.978,0.898
yolo26s,1,16,A13_F-15,42,241,0.984,0.959,0.016,0.971339,0.972,0.884
yolo26s,1,17,A14_KC-135,73,303,0.964,0.917,0.036,0.939913,0.924,0.863
yolo26s,1,18,A15_F-22,24,88,0.915,0.989,0.085,0.950562,0.975,0.876
yolo26s,1,19,A16_FA-18,46,471,0.971,0.979,0.029,0.974984,0.985,0.937
yolo26s,1,20,A17_TU-95,62,229,0.988,0.965,0.012,0.976365,0.973,0.879
