epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,1815.69,0.84652,0.4797,0.00464,0.94039,0.9009,0.9374,0.83767,0.50738,0.35638,0.0033,0.0114214,0.00380712,0.0114214,0.00380712,0.0114214,0.00380712,0.0114214,0.00380712
51,1852.12,0.8352,0.46731,0.00464,0.91572,0.9107,0.93433,0.83303,0.50874,0.34641,0.00332,0.0112875,0.0037625,0.0112875,0.0037625,0.0112875,0.0037625,0.0112875,0.0037625
52,1888.92,0.82806,0.46631,0.00458,0.95331,0.88893,0.93598,0.83494,0.5092,0.3524,0.00333,0.011152,0.00371734,0.011152,0.00371734,0.011152,0.00371734,0.011152,0.00371734
53,1925.17,0.84234,0.47336,0.00465,0.94054,0.89664,0.93478,0.8328,0.50642,0.34512,0.00329,0.011015,0.00367166,0.011015,0.00367166,0.011015,0.00367166,0.011015,0.00367166
54,1960.82,0.8281,0.46496,0.00453,0.91952,0.9034,0.9307,0.83573,0.49606,0.338,0.00322,0.0108764,0.00362547,0.0108764,0.00362547,0.0108764,0.00362547,0.0108764,0.00362547
55,1996.97,0.83262,0.46122,0.00456,0.92589,0.91149,0.93605,0.83741,0.50454,0.33905,0.0033,0.0107364,0.0035788,0.0107364,0.0035788,0.0107364,0.0035788,0.0107364,0.0035788
56,2032.86,0.82153,0.45837,0.00455,0.9471,0.89938,0.93285,0.83479,0.50539,0.33801,0.00327,0.010595,0.00353167,0.010595,0.00353167,0.010595,0.00353167,0.010595,0.00353167
57,2068.46,0.81285,0.44931,0.00451,0.96221,0.90412,0.94216,0.8447,0.49892,0.32942,0.00325,0.0104523,0.0034841,0.0104523,0.0034841,0.0104523,0.0034841,0.0104523,0.0034841
58,2104.37,0.81799,0.45111,0.00447,0.93802,0.89399,0.93126,0.83787,0.49581,0.33516,0.00323,0.0103083,0.00343611,0.0103083,0.00343611,0.0103083,0.00343611,0.0103083,0.00343611
59,2140.49,0.80642,0.44574,0.00446,0.92807,0.91385,0.93739,0.84183,0.49754,0.32676,0.00324,0.0101631,0.00338772,0.0101631,0.00338772,0.0101631,0.00338772,0.0101631,0.00338772
60,2176.46,0.81004,0.44422,0.00442,0.95017,0.89675,0.93593,0.84209,0.49822,0.335,0.00326,0.0100168,0.00333894,0.0100168,0.00333894,0.0100168,0.00333894,0.0100168,0.00333894
61,2212.26,0.80051,0.43323,0.00445,0.94495,0.90928,0.94111,0.8435,0.49583,0.33265,0.00322,0.00986945,0.00328982,0.00986945,0.00328982,0.00986945,0.00328982,0.00986945,0.00328982
62,2248.65,0.79408,0.43849,0.00439,0.95724,0.89055,0.93788,0.84329,0.49674,0.33787,0.00324,0.00972106,0.00324035,0.00972106,0.00324035,0.00972106,0.00324035,0.00972106,0.00324035
63,2284.46,0.80195,0.43832,0.00439,0.94644,0.90531,0.93679,0.84191,0.49911,0.32117,0.00323,0.00957173,0.00319058,0.00957173,0.00319058,0.00957173,0.00319058,0.00957173,0.00319058
64,2320.4,0.78987,0.43131,0.00437,0.94558,0.89864,0.9336,0.84236,0.49044,0.32183,0.00319,0.00942152,0.00314051,0.00942152,0.00314051,0.00942152,0.00314051,0.00942152,0.00314051
65,2356.45,0.79015,0.42654,0.00433,0.94445,0.90748,0.94096,0.84572,0.49518,0.32542,0.00324,0.00927051,0.00309017,0.00927051,0.00309017,0.00927051,0.00309017,0.00927051,0.00309017
