epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,3787.22,0.66141,0.31908,0.00362,0.95555,0.92139,0.95187,0.87041,0.46153,0.32408,0.00304,0.0085056,0.0028352,0.0085056,0.0028352,0.0085056,0.0028352,0.0085056,0.0028352
71,3840.85,0.65668,0.31466,0.00361,0.96023,0.92061,0.95525,0.87361,0.46074,0.3206,0.00303,0.00835112,0.00278371,0.00835112,0.00278371,0.00835112,0.00278371,0.00835112,0.00278371
72,3894.77,0.65069,0.31495,0.00354,0.96559,0.92448,0.95073,0.86918,0.46118,0.31936,0.00303,0.00819631,0.0027321,0.00819631,0.0027321,0.00819631,0.0027321,0.00819631,0.0027321
73,3948.5,0.65375,0.31462,0.0036,0.96536,0.92509,0.94702,0.86599,0.45923,0.32007,0.00303,0.00804122,0.00268041,0.00804122,0.00268041,0.00804122,0.00268041,0.00804122,0.00268041
74,4002.53,0.64516,0.30932,0.00354,0.9702,0.92166,0.94393,0.86384,0.46072,0.31926,0.00303,0.00788593,0.00262864,0.00788593,0.00262864,0.00788593,0.00262864,0.00788593,0.00262864
75,4056.59,0.65081,0.31367,0.00354,0.95763,0.92932,0.94518,0.86513,0.45839,0.31784,0.00303,0.0077305,0.00257683,0.0077305,0.00257683,0.0077305,0.00257683,0.0077305,0.00257683
76,4110.37,0.63774,0.3033,0.00352,0.9538,0.93063,0.94581,0.86402,0.46179,0.32166,0.00305,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525,0.007575,0.002525
77,4164.51,0.64012,0.30388,0.00348,0.9557,0.92525,0.94438,0.86346,0.46166,0.32547,0.00304,0.0074195,0.00247317,0.0074195,0.00247317,0.0074195,0.00247317,0.0074195,0.00247317
78,4218.48,0.63885,0.30189,0.00349,0.95937,0.91503,0.94435,0.86391,0.46128,0.32167,0.00304,0.00726407,0.00242136,0.00726407,0.00242136,0.00726407,0.00242136,0.00726407,0.00242136
79,4272.72,0.63671,0.30261,0.00345,0.96251,0.92423,0.94828,0.86655,0.45794,0.324,0.00301,0.00710878,0.00236959,0.00710878,0.00236959,0.00710878,0.00236959,0.00710878,0.00236959
80,4326.56,0.62338,0.29615,0.00345,0.95962,0.92684,0.94983,0.86907,0.4578,0.32161,0.00302,0.00695369,0.0023179,0.00695369,0.0023179,0.00695369,0.0023179,0.00695369,0.0023179
81,4380.62,0.62926,0.29804,0.00339,0.96278,0.92738,0.9506,0.87098,0.45643,0.31864,0.00301,0.00679888,0.00226629,0.00679888,0.00226629,0.00679888,0.00226629,0.00679888,0.00226629
82,4435.07,0.63503,0.29567,0.00342,0.95565,0.92599,0.95015,0.87193,0.45618,0.32078,0.003,0.0066444,0.0022148,0.0066444,0.0022148,0.0066444,0.0022148,0.0066444,0.0022148
83,4488.87,0.61992,0.29053,0.00337,0.95863,0.92621,0.94887,0.87236,0.45718,0.32423,0.003,0.00649033,0.00216344,0.00649033,0.00216344,0.00649033,0.00216344,0.00649033,0.00216344
84,4542.63,0.6194,0.29289,0.0034,0.95547,0.92592,0.94855,0.87122,0.45788,0.31767,0.00302,0.00633674,0.00211225,0.00633674,0.00211225,0.00633674,0.00211225,0.00633674,0.00211225
85,4596.31,0.60739,0.28207,0.00334,0.95674,0.9264,0.94851,0.87072,0.45734,0.31629,0.00301,0.00618369,0.00206123,0.00618369,0.00206123,0.00618369,0.00206123,0.00618369,0.00206123
86,4649.96,0.60323,0.27994,0.00334,0.95428,0.92963,0.94962,0.87078,0.45866,0.31441,0.00302,0.00603126,0.00201042,0.00603126,0.00201042,0.00603126,0.00201042,0.00603126,0.00201042
87,4703.51,0.61387,0.28521,0.0033,0.95498,0.92783,0.95125,0.8717,0.45919,0.31892,0.00303,0.00587949,0.00195983,0.00587949,0.00195983,0.00587949,0.00195983,0.00587949,0.00195983
88,4756.89,0.60399,0.28024,0.00335,0.96683,0.92137,0.95186,0.87112,0.45927,0.31584,0.00302,0.00572848,0.00190949,0.00572848,0.00190949,0.00572848,0.00190949,0.00572848,0.00190949
89,4811.26,0.6034,0.28033,0.00329,0.96952,0.92087,0.94884,0.86842,0.45881,0.31695,0.00302,0.00557827,0.00185942,0.00557827,0.00185942,0.00557827,0.00185942,0.00557827,0.00185942
